"Reference","Value","Footprint","Datasheet","Part Number","Part number","Supplier Link","Qtd"
"C201, C202, C306, C609","1u","Capacitor_SMD:C_0805_2012Metric","~","CC0805KKX7R7BB105","","","4"
"C203-C206, C208, C501","22u","Capacitor_SMD:C_0805_2012Metric","~","C0805C226M8PAC7210","","","6"
"C207","DNP","Capacitor_SMD:C_0805_2012Metric","~","","","","1"
"C209, C302, C303, C305, C307, C309, C310, C312, C401-C409, C604, C607, C608, C611, C612, C614, C619, C622","100n","Capacitor_SMD:C_0805_2012Metric","~","CC0805JRX7R9BB104","","","25"
"C301, C311","4.7u","Capacitor_SMD:C_0805_2012Metric","~","C0805C475M4RACTU","","","2"
"C304, C308","10p","Capacitor_SMD:C_0805_2012Metric","~","C0805C100M4GACTU","","","2"
"C601-C603, C605, C610, C615","10u","Capacitor_SMD:C_0805_2012Metric","~","C0805C106M8RACTU","","","6"
"C606, C618, C621, C623","150p","Capacitor_SMD:C_0805_2012Metric","~","885012207111","","","4"
"C613, C616, C617, C620","1n","Capacitor_SMD:C_0805_2012Metric","~","C0805C102K2RAC","","","4"
"D301-D305, D401-D405, D601, D602","~","pedal-components:PESD3V3L1BA","PESD3V3L1BA","PESD3V3L1BA,115","","","12"
"H101-H105","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","","5"
"J301","TagConnect_TC2030","Connector:Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/TC2030-CTX_1.pdf","","","","1"
"J501","USB4105-GF-A","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","USB4105-GF-A","","https://www.digikey.de/en/products/detail/gct/USB4105-GF-A/11198441","1"
"J601, J602","NMJ4HCD2","pedal-components:NMJ4HCD2","","NMJ4HCD2","","https://www.mouser.de/ProductDetail/Neutrik/NMJ4HCD2?qs=SzdD80gJ2cAr9Xh3wJi7nw%3D%3D","2"
"L201","10n","Inductor_SMD:L_0805_2012Metric","~","0805CS-100EGTS","","","1"
"L202","68u","pedal-components:ASPI-4030S-680M-T","","ASPI-4030S-680M-T","","https://www.digikey.de/en/products/detail/abracon-llc/ASPI-4030S-680M-T/5055591?s=N4IgTCBcDaIIIGUAKBJAtAFgAwGYsLQDYAOLAWTQBUQBdAXyA","1"
"R201","10R","Resistor_SMD:R_0805_2012Metric","~","RNCP0805FTD10R0","","","1"
"R202","100k","Resistor_SMD:R_0805_2012Metric","~","RT0805FRE07100KL","","","1"
"R203","22k","Resistor_SMD:R_0805_2012Metric","~","RT0805FRE1322KL","","","1"
"R204, R205","1k","Resistor_SMD:R_0805_2012Metric","~","RT0805FRE071KL","","","2"
"R301, R609","0R","Resistor_SMD:R_0805_2012Metric","~","CRCW08050000Z0EC","","","2"
