Ref,Val,Package,PosX,PosY,Rot,Side
"C201","1u","C_0805_2012Metric",195.880400,-75.803400,-90.000000,top
"C202","1u","C_0805_2012Metric",191.308400,-75.803400,90.000000,top
"C203","22u","C_0805_2012Metric",123.276400,-94.149400,90.000000,top
"C204","22u","C_0805_2012Metric",199.694800,-96.555600,180.000000,top
"C205","22u","C_0805_2012Metric",120.091200,-96.520000,90.000000,top
"C206","22u","C_0805_2012Metric",193.344800,-104.683600,-90.000000,top
"C207","DNP","C_0805_2012Metric",195.630800,-104.683600,-90.000000,top
"C208","22u","C_0805_2012Metric",124.511400,-90.425400,180.000000,top
"C209","100n","C_0805_2012Metric",124.511400,-79.757400,0.000000,top
"C301","4.7u","C_0805_2012Metric",178.991600,-99.615200,0.000000,top
"C302","100n","C_0805_2012Metric",180.922000,-97.481600,180.000000,top
"C303","100n","C_0805_2012Metric",168.551400,-91.745400,90.000000,top
"C304","10p","C_0805_2012Metric",163.892400,-83.145400,0.000000,top
"C305","100n","C_0805_2012Metric",173.708400,-97.460400,180.000000,top
"C306","1u","C_0805_2012Metric",166.011400,-91.745400,90.000000,top
"C307","100n","C_0805_2012Metric",167.916400,-84.125400,180.000000,top
"C308","10p","C_0805_2012Metric",162.836400,-90.475400,180.000000,top
"C309","100n","C_0805_2012Metric",185.595600,-84.680000,-90.000000,top
"C310","100n","C_0805_2012Metric",173.251200,-81.022400,0.000000,top
"C311","4.7u","C_0805_2012Metric",173.708400,-99.564400,180.000000,top
"C312","100n","C_0805_2012Metric",168.425200,-70.473600,90.000000,top
"C401","100n","C_0805_2012Metric",104.456400,-112.521400,0.000000,top
"C402","100n","C_0805_2012Metric",104.468000,-132.635200,0.000000,top
"C403","100n","C_0805_2012Metric",184.454400,-118.871400,0.000000,top
"C404","100n","C_0805_2012Metric",129.918800,-105.762000,180.000000,top
"C405","100n","C_0805_2012Metric",129.854400,-125.899400,180.000000,top
"C406","100n","C_0805_2012Metric",148.398400,-105.762000,180.000000,top
"C407","100n","C_0805_2012Metric",148.410000,-125.878800,180.000000,top
"C408","100n","C_0805_2012Metric",167.307600,-105.762000,180.000000,top
"C409","100n","C_0805_2012Metric",167.206000,-125.828000,180.000000,top
"C501","22u","C_0805_2012Metric",194.028400,-70.303600,180.000000,top
"C601","10u","C_0805_2012Metric",145.715400,-84.488400,0.000000,top
"C602","10u","C_0805_2012Metric",145.715400,-89.060400,180.000000,top
"C603","10u","C_0805_2012Metric",110.083600,-88.239600,180.000000,top
"C604","100n","C_0805_2012Metric",110.083600,-90.525600,180.000000,top
"C605","10u","C_0805_2012Metric",149.779400,-88.298400,0.000000,top
"C606","150p","C_0805_2012Metric",129.271400,-74.328400,180.000000,top
"C607","100n","C_0805_2012Metric",149.779400,-90.584400,0.000000,top
"C608","150p","C_0805_2012Metric",133.081400,-74.328400,0.000000,top
"C609","1u","C_0805_2012Metric",115.570000,-96.012000,180.000000,top
"C610","10u","C_0805_2012Metric",146.620400,-94.067400,90.000000,top
"C611","100n","C_0805_2012Metric",137.465400,-72.284800,0.000000,top
"C612","100n","C_0805_2012Metric",144.334400,-94.067400,90.000000,top
"C613","1n","C_0805_2012Metric",114.721900,-83.242400,180.000000,top
"C614","100n","C_0805_2012Metric",138.238400,-94.067400,90.000000,top
"C615","10u","C_0805_2012Metric",135.952400,-94.067400,90.000000,top
"C616","1n","C_0805_2012Metric",114.721900,-74.098400,0.000000,top
"C617","1n","C_0805_2012Metric",143.838000,-74.328400,180.000000,top
"C618","150p","C_0805_2012Metric",114.721900,-76.384400,180.000000,top
"C619","100n","C_0805_2012Metric",106.368900,-80.956400,180.000000,top
"C620","1n","C_0805_2012Metric",149.845400,-78.900400,180.000000,top
"C621","150p","C_0805_2012Metric",145.209600,-77.974400,-90.000000,top
"C622","100n","C_0805_2012Metric",149.845400,-72.042400,0.000000,top
"C623","150p","C_0805_2012Metric",134.232400,-86.361400,0.000000,top
"D301","~","PESD3V3L1BA",182.626000,-57.658000,90.000000,top
"D302","~","PESD3V3L1BA",182.626000,-54.559200,90.000000,top
"D303","~","PESD3V3L1BA",177.698400,-64.566800,0.000000,top
"D304","~","PESD3V3L1BA",182.626000,-59.436000,90.000000,top
"D305","~","PESD3V3L1BA",173.685200,-64.516000,0.000000,top
"D401","~","PESD3V3L1BA",114.576400,-107.441400,90.000000,top
"D402","~","PESD3V3L1BA",114.108400,-129.325400,90.000000,top
"D403","~","PESD3V3L1BA",184.350900,-123.697400,-90.000000,top
"D404","~","PESD3V3L1BA",113.385600,-121.208800,-90.000000,top
"D405","~","PESD3V3L1BA",113.284000,-140.970000,-90.000000,top
"D601","~","PESD3V3L1BA",128.344000,-64.309200,180.000000,top
"D602","~","PESD3V3L1BA",102.588400,-64.309200,180.000000,top
"J501","USB4105-GF-A","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",202.484400,-67.421400,90.000000,top
"J601","NMJ4HCD2","NMJ4HCD2",140.000000,-47.600000,90.000000,top
"J602","NMJ4HCD2","NMJ4HCD2",114.000000,-47.600000,90.000000,top
"L201","10n","L_0805_2012Metric",193.594400,-75.803400,-90.000000,top
"L202","68u","ASPI-4030S-680M-T",195.376800,-98.587600,-90.000000,top
"R201","10R","R_0805_2012Metric",125.562400,-94.149400,-90.000000,top
"R202","100k","R_0805_2012Metric",197.916800,-104.683600,90.000000,top
"R203","22k","R_0805_2012Metric",200.202800,-104.683600,-90.000000,top
"R204","1k","R_0805_2012Metric",124.511400,-88.139400,180.000000,top
"R205","1k","R_0805_2012Metric",124.511400,-85.853400,0.000000,top
"R301","0R","R_0805_2012Metric",167.916400,-87.935400,0.000000,top
"R302","49.9R","R_0805_2012Metric",172.235200,-70.473600,-90.000000,top
"R303","49.9R","R_0805_2012Metric",179.652000,-70.354400,-90.000000,top
"R304","49.9R","R_0805_2012Metric",183.411200,-70.354400,-90.000000,top
"R305","49.9R","R_0805_2012Metric",175.892800,-70.356300,-90.000000,top
"R306","10K","R_0805_2012Metric",176.479200,-80.060800,-90.000000,top
"R401","1K","R_0805_2012Metric",104.456400,-114.804400,180.000000,top
"R402","1K","R_0805_2012Metric",104.468000,-134.921200,180.000000,top
"R403","1K","R_0805_2012Metric",104.456400,-110.235400,0.000000,top
"R404","1K","R_0805_2012Metric",104.468000,-130.349200,0.000000,top
"R405","1K","R_0805_2012Metric",184.454400,-121.411400,0.000000,top
"R406","1K","R_0805_2012Metric",104.456400,-117.093400,180.000000,top
"R407","1K","R_0805_2012Metric",104.468000,-137.207200,180.000000,top
"R501","5K1","R_0805_2012Metric",195.935600,-63.246000,90.000000,top
"R502","5K1","R_0805_2012Metric",193.977600,-72.538800,0.000000,top
"R601","49.9R","R_0805_2012Metric",145.715400,-86.774400,0.000000,top
"R602","1K","R_0805_2012Metric",129.271400,-72.042400,0.000000,top
"R603","2M2","R_0805_2012Metric",129.271400,-76.614400,180.000000,top
"R604","2M2","R_0805_2012Metric",133.081400,-76.614400,0.000000,top
"R605","10K","R_0805_2012Metric",115.570000,-98.145600,180.000000,top
"R606","6K8","R_0805_2012Metric",114.691400,-85.594400,0.000000,top
"R607","22K","R_0805_2012Metric",114.721900,-80.956400,0.000000,top
"R608","6K8","R_0805_2012Metric",141.971400,-72.042400,0.000000,top
"R609","0R","R_0805_2012Metric",145.858400,-97.115400,0.000000,top
"R610","12K","R_0805_2012Metric",114.721900,-78.670400,180.000000,top
"R611","22K","R_0805_2012Metric",141.971400,-76.614400,180.000000,top
"R612","12K","R_0805_2012Metric",141.971400,-78.900400,0.000000,top
"R613","49.9R","R_0805_2012Metric",106.368900,-74.098400,180.000000,top
"R614","1K","R_0805_2012Metric",137.788400,-86.107400,-90.000000,top
"R615","1K","R_0805_2012Metric",130.930400,-86.361400,-90.000000,top
"RV401","50K Linear","PTV09A-4030S-A503",131.126400,-115.859400,180.000000,top
"RV402","50K Linear","PTV09A-4030S-A503",149.680000,-115.871200,180.000000,top
"RV403","50K Linear","PTV09A-4030S-A503",168.526800,-115.871200,180.000000,top
"RV404","50K Linear","PTV09A-4030S-A503",131.087200,-135.988000,180.000000,top
"RV405","50K Linear","PTV09A-4030S-A503",149.668400,-135.977400,180.000000,top
"RV406","50K Linear","PTV09A-4030S-A503",168.526800,-135.988000,180.000000,top
"SW401","PBS-24-202P","FSW-DPDT-020",195.642400,-121.245400,0.000000,top
"SW402","LP4EE1PBCTR","LP4EE1PBCTR",114.616400,-115.911400,0.000000,top
"SW403","LP4EE1PBCTR","LP4EE1PBCTR",114.616400,-135.723400,0.000000,top
"U201","HT7533-1","SOT-89-3",124.268400,-99.401400,-90.000000,top
"U202","TLV62569DBV","SOT-23-5",199.628800,-100.244100,-90.000000,top
"U203","MCP6001-OT","SOT-23-5",124.511400,-82.805400,0.000000,top
"U301","STM32F401RBTx","LQFP-64_10x10mm_P0.5mm",177.441400,-89.205400,0.000000,top
"U501","USBLC6-2SC6","SOT-23-6",194.864400,-66.903600,0.000000,top
"U601","REF3033","SOT-23",149.779400,-85.250400,0.000000,top
"U602","DAC7563SDGSR","10-VSSOP-TI",109.649600,-93.366800,-90.000000,top
"U603","MCP6001-OT","SOT-23-5",137.399400,-75.344400,0.000000,top
"U604","ADC141S626","10-VSSOP-TI",141.286400,-94.067400,180.000000,top
